Date,Auto_YoY,CPI_Repo_Spread
2023-02-01,0.022264792696991664,0.7200000000000006
2023-02-28,0.02330496037569718,-0.3299999999999992
2023-03-01,0.24107674003569302,-1.1099999999999994
2023-03-31,0.19856373429084373,-1.0300000000000002
2023-04-01,0.2927126556016597,-1.7400000000000002
2023-04-30,0.032093090668157354,-0.96
2023-05-01,-0.10294888368680344,-1.3500000000000005
2023-05-31,-0.13135636228304637,-0.39000000000000057
2023-06-01,-0.10518274295364083,0.16999999999999993
2023-06-30,-0.10518274295364083,0.5600000000000005
2023-07-01,-0.032304510058403624,3.130000000000001
2023-07-31,-0.032304510058403624,2.5700000000000003
2023-08-01,-0.149189230533884,1.96
2023-08-31,-0.149189230533884,-0.6100000000000003
2023-09-01,0.08500099860195731,-2.420000000000001
2023-09-30,0.08500099860195731,-1.8100000000000005
2023-10-01,0.28525287379380915,-1.96
2023-10-31,0.28525287379380915,-0.14999999999999947
2023-11-01,0.18185359013807467,0.5300000000000002
2023-11-30,0.18185359013807467,0.6799999999999997
2023-12-01,0.21637834194563021,0.8200000000000003
2023-12-01,0.11720961581667044,0.14000000000000057
2023-12-31,0.04207967476267305,0.14000000000000057
2024-01-01,0.12630189232800348,-0.5900000000000007
2024-01-31,0.20793814896390517,-0.5900000000000007
2024-02-01,0.2145233065132377,-0.6000000000000005
2024-02-29,-0.005282921621323156,0.2400000000000002
2024-03-01,0.002098442734602246,0.0
2024-03-31,-0.15025130334342707,0.009999999999999787
2024-04-01,-0.20533512315424718,-0.2599999999999998
2024-04-30,-0.16108886581969784,-0.019999999999999574
2024-05-01,-0.13333992453078913,-0.04999999999999982
2024-05-31,-0.028555069171238068,-0.03000000000000025
2024-06-01,-0.06847386731554284,0.25
2024-06-30,-0.06847386731554284,0.28000000000000025
2024-07-01,-0.06811669705652512,-1.1999999999999997
2024-07-31,-0.06811669705652512,-1.48
2024-08-01,-0.0916560262032976,-1.4300000000000002
2024-08-31,-0.0916560262032976,0.04999999999999982
2024-09-01,-0.023916238060249784,1.8900000000000001
2024-09-30,-0.023916238060249784,1.8400000000000003
2024-10-01,0.22242737325921702,2.56
2024-10-31,0.22242737325921702,0.7199999999999998
2024-11-01,0.18328738473238904,-0.009999999999999787
2024-11-30,0.18328738473238904,-0.7299999999999995
2024-12-01,0.3435300721039678,-0.9900000000000002
2024-12-31,0.3435300721039678,-0.5100000000000007
